,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
190493,44 Grosvenor Square Westminster Borough London W1K 2HP United Kingdom,806,12/16/2016,7.8,Millennium Hotel London Mayfair, United Kingdom , Bedroom was a little tired and dated with wallpaper starting to peel from the walls in several areas the Club room facilities were pleasantly good and in plentiful supply staff in there were very attentive and polite,38,3117, Buffet Breakfast in the Restaurant was disappointing as the food was cold which was evident due to the burning units which were needing replaced to maintain the heat no one appeared to look to see food was hot albeit the selection on offer was excellent,46,1,8.3,"[' Leisure trip ', ' Family with young children ', ' Club Double Room ', ' Stayed 1 night ']",230 day,51.510574,-0.1509951
288513,Boquer a 10 Ciutat Vella 08002 Barcelona Spain,392,5/11/2016,8.5,Petit Palace Boqueria Garden, Switzerland , You can hear the noise from the corridor and the other doors closing a common problem to many hotels ,21,3602, Great location and quiet room on the inner court of the building The room was nice and reasonably spacious Possibility to take some bicycles from the hotel We didn t get the breakfast in the hotel but there were many places around where to get a coffee and a croissant Free wifi was very appreciated ,57,7,8.3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room 1 2 Adults ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",449 day,41.3812223,2.1739622
381377,Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,666,7/18/2017,8.5,Eurostars Grand Marina Hotel GL, Russia ,No Negative,0,4559, Very good if viziting the city by car or coming to the conference in world trade center Met a really big que on the reception spend about half an hour in it which happened to me for the fisrt time in my life The lobby bar offers very nice snacks but the service is not very fast The funny thing is that the second day i had my lunch with my friend for free as the waiter told us that they were too slow to serve us A whole lunch in the restaurant for free also happened for me for the first time ,105,1,9.2,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room 1 2 Adults ', ' Stayed 1 night ', ' Submitted from a mobile device ']",16 days,41.371308,2.181698
300709,Coopers Row City of London London EC3N 2BQ United Kingdom,267,8/23/2015,8.7,Grange City Hotel, United Kingdom , We had a room that directly overlooked the train station platform therefore had to keep our blinds curtains closed the majority of the dead for privacy Also would be good to have windows that can be accessed and opened to allow for fresh air ,46,872, Service was excellent and staff were always accommodating of our needs ,13,1,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",711 day,51.5110114,-0.0771251
270233,Annagasse 16 01 Innere Stadt 1010 Vienna Austria,135,8/31/2016,8.9,Schlosshotel R mischer Kaiser, Australia , 3 bed room cramped for 3 people but given value for money this wasn t a big deal,19,1350, Lovely staff great location just off kartnerstrasse free water and ice cream in the lobby ,17,5,9.6,"[' Leisure trip ', ' Group ', ' Classic Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",337 day,48.2040859,16.3725046
434272,Rosell n 174 176 Eixample 08036 Barcelona Spain,164,8/21/2016,8.5,Bcn Urban Hotels Gran Rosellon, United States of America , The rooftop pool like almost all rooftop pools in Barcelona is too small to really swim in But this isn t really much of an issue because Barcelona has so much to do and see that most people don t need to spend a lot of time at the pool ,52,2383, Our stay at the hotel was great We landed at 8am and they let us check in immediately upon arrival Every time we walked by the desk the staff greeted us by name and tehy often asked us whether there was anything they could do for us The room was very comfortable and quiet and the location is amazing ,61,4,9.6,"[' Leisure trip ', ' Group ', ' Economy Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",347 day,41.4226648,2.1464261
102752,202 rue de Rivoli 1st arr 75001 Paris France,297,6/3/2016,8.0,Saint James Albany Paris Hotel Spa, United Kingdom , Lots of mistakes made by hotel which they were reluctant to take responsibility for told okay to store our bicycles then when we arrived having cycled from London they said not although eventually after protracted arguments with charmless duty manager they agreed to store bikes overnight forbidden in rooms When check in staff put me and my daughter in wrong rooms on first night and she checked out they suggested I move to the original room for second night their error another argument with charmless manager Building has potential if sun was out but rained ,97,2868,No Positive,0,7,6.7,"[' Leisure trip ', ' Group ', ' Standard Room with Spa access ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",426 day,48.8642689,2.3308179
114941,225 Ladbroke Grove Kensington and Chelsea London W10 6HQ United Kingdom,73,5/11/2017,8.4,Portobello House, Brazil , The location is good but it s not so central ,12,344, The decor is amazing everything is new and cool The bedroom is enormous and very comfy The staff was really kind ,23,8,9.2,"[' Leisure trip ', ' Couple ', ' Club King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",84 days,51.5199224,-0.2116636
84253,1a Lexham Gardens Kensington and Chelsea London W8 5JJ United Kingdom,222,2/18/2016,7.5,Mercure London Kensington Hotel, United Kingdom , Excellent choice for Breakfast but English breakfast could have been hotter ,13,1016, Good Hotel very clean with comfy beds and friendly staff,11,1,9.6,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 3 nights ']",532 day,51.4950098,-0.1906195
250224,8 rue Chambiges 8th arr 75008 Paris France,122,11/10/2016,8.9,Chambiges Elys es, Canada , WiFi dropped frequently,4,858, Extremely friendly yet corteous staff ,7,1,9.6,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",266 day,48.8668048,2.3039465
210158,53 59 Kilburn High Road Maida Vale London Camden London NW6 5SB United Kingdom,364,5/31/2016,7.1,BEST WESTERN Maitrise Hotel Maida Vale, United Kingdom , The tea making facilities including the kettle were directly under the television and it was a very cramped area Shortage of plug sockets generally in the room meant there was no scope to change the layout,37,1877, Great location friendly helpful staff large room very clean and comfortable bed Lots of choice at breakfast We had a lovely short break ,25,21,9.6,"[' Leisure trip ', ' Couple ', ' Executive King Room ', ' Stayed 2 nights ']",429 day,51.5366053,-0.1919832
31613,10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,641,9/11/2015,8.7,Holiday Inn London Stratford City, Kuwait , i was asked to pay extra for my booking the duty manager was not friendly at all breakfast was bad and it was not arranged up to standard ,30,2130,No Positive,0,2,3.8,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']",692 day,51.5426054,-0.0072708
460088,Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,926,5/3/2016,8.2,Ramada Apollo Amsterdam Centre, United Kingdom , the first day the kettle is rusty the next day they changed the kettle but the heating plate is broken 9 am in the morning someone knocking at the door asking for housekeeping should the housing keeping be in the afternoon for guests who are not going to check out that day plus the door key is not functioning so well making me come back to the reception 4 times and they are still blaming me for keeping the door keys next to my phone if that is true there should be at least one key working but for me both keys are not working if the door keys are not working after the guests refresh it twice you should think about your own problem it is not appropriate to blame the guests about keeping their keys wrong ,140,5770,No Positive,0,9,4.6,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 3 nights ']",457 day,52.3681299,4.8440847
108172,22 Avenue du professeur lemierre 20th arr 75020 Paris France,110,9/4/2016,7.6,Novotel Suites Paris Montreuil Vincennes, United Kingdom , Area was good for travelling on metro but around the hotel was very dirty,15,1176, Rooms were fab staff were lovely especially with the children facilities were great ,15,1,9.2,"[' Leisure trip ', ' Family with young children ', ' Two Adjoining Superior Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",333 day,48.8554268,2.4152555
223769,61 Gloucester Road Kensington and Chelsea London SW7 4PE United Kingdom,205,9/26/2015,8.1,Rydges Kensington Hotel, Finland , Wifi was extremely slow ,6,1057,No Positive,0,1,7.9,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 3 nights ']",677 day,51.4956883,-0.1827878
471386,Via Augusta 5 08006 Barcelona Spain,92,3/21/2017,8.3,Hotel Balmoral, United Kingdom ,No Negative,0,1023, Amazing hotel for the value would definitely go back ,11,1,10.0,"[' Leisure trip ', ' Couple ', ' Interior Double or Twin Room ', ' Stayed 3 nights ']",135 day,41.3961294,2.1551626
287722,Bloomsbury Way Camden London WC1A 2SD United Kingdom,387,3/29/2016,8.5,Thistle Holborn The Kingsley, United Kingdom , Size of the room for a deluxe very small,10,1593, Excellent friendly staff,4,5,8.8,"[' Leisure trip ', ' Family with older children ', ' Deluxe Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",492 day,51.5179659,-0.1234343
464668,Taborstra e 12 02 Leopoldstadt 1020 Vienna Austria,404,3/3/2016,9.1,Hotel Stefanie, United Kingdom , We liked everything,4,3883, The hotel was so authentic staff on the whole were amazing and the breakfast buffet was to die for Location was perfect and would recommend to anyone going to Vienna ,32,1,9.6,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",518 day,48.2142766,16.3801779
91835,2 Stanhope Row Park Lane Westminster Borough London W1J 7BS United Kingdom,444,5/29/2016,7.0,Park Lane Mews Hotel, United Kingdom ,No Negative,0,2061, Very pleasant stay room was a bit small I did not appreciate being woken up after getting back late from my job working in a hospital after agreeing a late check out with Reception ,36,3,7.5,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",431 day,51.5059334,-0.1489418
400315,Passeig de Gracia 68 Eixample 08007 Barcelona Spain,337,1/31/2016,8.9,Majestic Hotel Spa Barcelona GL, Spain , Room air conditioning and heating was slow to response,10,1769, Location is 10,4,5,8.8,"[' Solo traveler ', ' Deluxe Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",550 day,41.3935179,2.1639813
235304,7 Gracechurch Street City of London London EC3V 0DR United Kingdom,764,5/24/2017,8.2,Club Quarters Hotel Gracechurch, Lithuania ,No Negative,0,2996, Perfect location to explore London underground stations within walking distance ,12,1,9.2,"[' Leisure trip ', ' Couple ', ' Small Queen Room ', ' Stayed 3 nights ']",71 days,51.5127964,-0.0847973
219529,6 Holywell Lane Hackney London EC2A 3ET United Kingdom,500,10/31/2016,9.1,citizenM London Shoreditch, United Kingdom , Breakfast at 15 which is expensive only had a bacon sandwich but still cost this amount ,18,2113, large room comfy bed and huge staff friendly and helpful good shower Loved the ipad to control everything and the room mood lighting ,25,14,8.8,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",276 day,51.5241373,-0.0786983
28951,104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,466,3/27/2016,8.2,Thistle Kensington Gardens, United Kingdom ,No Negative,0,2134, Breakfast was excellent and value for money Staff were very helpful and the location great for the museums which is why we brought the kids to London ,29,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",494 day,51.5108439,-0.1839074
319870,Europaboulevard 10 Zuideramstel 1083 AD Amsterdam Netherlands,341,1/3/2016,7.8,Novotel Amsterdam City, United Kingdom , I requested a double bed for me and my partner and when we turned up we were put in a room with 2 single beds and told there was nothing they could do Even though I d booked 3 months prior to visit Also after paying for the room I had to also put a 70 deposit down aswell as nearly 500 for 2 nights which I thought was ridiculous ,72,2501,No Positive,0,1,4.6,"[' Leisure trip ', ' Couple ', ' Standard Room with Queen Bed ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",578 day,52.333803,4.8884708
282192,Avinyo 30 Ciutat Vella 08002 Barcelona Spain,77,10/14/2016,9.3,Aparthotel Arai 4 Superior, United States of America , Kitchen chairs and table were very unstable ,9,520, Beautiful great location ,5,4,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",293 day,41.3807517,2.1772425
233475,7 11 Queensberry Place Kensington and Chelsea London SW7 2DL United Kingdom,234,10/8/2015,6.9,Gainsborough Hotel, Switzerland , Not a bad experience but the hotel is getting a little bit worn around the edges But cleanliness is very good ,23,1884, Location ,3,27,7.1,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']",665 day,51.4948416,-0.1772056
246831,8 12 Manchester Street Westminster Borough London W1U 4DG United Kingdom,140,11/20/2016,8.8,Ten Manchester Street Hotel, United Kingdom , Heating didn t work and service at breakfast and choice for breakfast is poor,15,478, Location,2,9,7.5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",256 day,51.5188,-0.153839
316843,Empire Way Wembley Brent London HA9 8DS United Kingdom,1005,4/11/2017,8.3,Holiday Inn London Wembley, United Kingdom , I couldn t fault the hotel at all,9,3469, It was perfect the bed was comfy the room was clean and the breakfast was delicious I would highly recommend and would book again,25,1,10.0,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",114 day,51.5590955,-0.284704
18338,10 Bina Gardens South Kensington Kensington and Chelsea London SW5 0LA United Kingdom,77,6/11/2017,7.8,The Cranley Hotel, Italy , Poor maintenance of the facility,6,388,No Positive,0,6,3.8,"[' Business trip ', ' Solo traveler ', ' Executive King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",53 days,51.4916378,-0.1832833
264064,97 Great Russell Street Bloomsbury Camden London WC1B 3LB United Kingdom,406,2/14/2017,8.2,Radisson Blu Edwardian Kenilworth, United Kingdom , The standard room is extremely standard and tiny There are no pictures of the room on the site so you do not expect what you get However raised my issue with Lukas on reception who helped us resolve it and made sure we were happy He even checked everything was good for us before he finished his shift ,60,2011, Room was very clean breakfast was excellent Lukas on reception was very friendly and extreamly helpful when we had a small issue helped us to resolve it both courteously and in a timely manner got the feeling nothing was too much trouble for him,45,2,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",170 day,51.5179725,-0.1280495
188653,42 Rue Des Petites Ecuries 10th arr 75010 Paris France,32,4/11/2017,8.0,Mercure Paris Opera Grands Boulevards, United Kingdom ,No Negative,0,359, Friendly helpful but unintrusive staff and atmosphere Fairly small but all needs met ,15,1,8.3,"[' Leisure trip ', ' Family with young children ', ' 3 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",114 day,48.8740668,2.3502172
73799,18 21 Charterhouse Square Islington London EC1M 6AH United Kingdom,431,5/8/2016,8.7,Malmaison London, United Kingdom , Nothing,2,1374, Friendly helpful staff happy to go the extra mile food great room comfortable modern and quiet,17,4,10.0,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ']",452 day,51.520943,-0.1004581
181044,40 trinity square City of London London EC3N 4DJ United Kingdom,832,12/2/2016,9.1,citizenM Tower of London, Philippines , Room was not that big Has problems with the tv remote and we called customer service twice until we were able to fix it on our own ,29,4672, The modern look and the ipad control Location is very good too because its near the train station and just across the tower of london,26,1,8.8,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",244 day,51.510237,-0.0764428
149688,33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,989,4/8/2016,8.4,Park Grand London Kensington, United Kingdom , We notified the hotel in advance via Booking com that this was a special anniversary weekend for ourselves and our son and his fianc e Despite this the hotel allocated only one anniversary room and gave this to my son and his fianc e despite it being our anniversary When I went to speak politely to them about this the female night supervisor suggested we swap rooms she was rude and brusque and said she personally wouldn t complain if it was her The next day the manager apologised as we were checking out and said it was totally their fault and they had got it wrong He offered a 20 discount but said the computers were down so he would forward this to us later in the day 2 days later we still had not received any email or financial compensation and we phoned to ask about this The lady supervisor answered and was immediately rude I asked to speak to the manager who apologised again and he eventually forwarded our refund We wouldn t be quick to recommend this hotel or to stay there again due in particular to the lady supervisor whose name is Ruxy The other staff were nice but sadly her attitude and lack of customer service has put us off ,218,4660, The bedrooms were clean and the beds were comfy The breakfast was good ,15,1,7.1,"[' Leisure trip ', ' Family with older children ', ' Club Double Room ', ' Stayed 1 night ']",482 day,51.4938468,-0.1917582
35939,111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom,123,3/8/2017,8.6,Ashburn Hotel, Canada , Everything was fine ,5,629, Great location and nice staff ,7,25,10.0,"[' Leisure trip ', ' Couple ', ' Queen Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",148 day,51.4945522,-0.1861213
335916,Guillem Tell 49 Sarri St Gervasi 08006 Barcelona Spain,190,12/28/2015,8.8,Pol Grace Hotel, Japan ,No Negative,0,2220, Good location close to metro stations The room is clean ,12,4,8.3,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 2 nights ']",584 day,41.4017465,2.1477365
71954,173 185 Greenwich High Rd Greenwich London SE10 8JA United Kingdom,274,12/20/2016,8.6,Novotel London Greenwich, United Kingdom , the fact i could not have a bat as the water just trickled out and the bath would have taken hours to fill,24,924, the friendliness of staff was excellent,7,3,6.3,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 2 nights ']",226 day,51.4778583,-0.0137463
108320,22 Hertsmere Road Tower Hamlets London E14 4ED United Kingdom,930,8/2/2017,8.9,London Marriott Hotel West India Quay, United Kingdom , We couldn t fault anything ,7,2836, Our stay at the Marriot was very comfortable 1st class All staff very helpful and attentive always smiling to Most enjoyable and would certainly love to stay there stay again Highly recommend it ,35,2,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe King Room with Water View ', ' Stayed 1 night ']",1 days,51.5072713,-0.0211213
404187,Piazza della Repubblica 13 Central Station 20124 Milan Italy,93,5/12/2017,9.2,ME Milan Il Duca, United Kingdom , Gym wasn t so well equipped otherwise really lovely,10,683, Just an amazing hotel Stylish elegant great service too,10,15,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",83 days,45.4793852,9.1961308
412454,Pla a de Llevant s n Sant Mart 08019 Barcelona Spain,488,9/29/2016,8.2,Hotel SB Diagonal Zero Barcelona 4 Sup, United Kingdom , Mattress was quite dinted in ,7,4645, Facilities,2,3,8.8,"[' Leisure trip ', ' Couple ', ' Suite with Hot Tub ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",308 day,41.4111652,2.2192012
27058,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,838,6/27/2017,8.4,The Grosvenor, United Kingdom , Room was much smaller than our previous stay plug socket in room didn t work One elavator was broken the whole time we were there ,27,3274, Cleanliness,2,1,5.8,"[' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",37 days,51.4956657,-0.1452793
5564,1 Addington Street Lambeth London SE1 7RY United Kingdom,1322,2/13/2017,8.4,Park Plaza County Hall London, United Kingdom , Queuing for the restaurant at breakfast On checking out at midday decided to have a coffee in the bar area but the staff were still clearing away tables from breakfast Seemed to be in no great rush This wasn t the case when I last visited last year,49,6117, Nice comfy room great staff at reception,8,1,7.1,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",171 day,51.5014001,-0.1160092
224194,61 Lincoln s Inn Fields Camden London WC2A 3JW United Kingdom,681,5/18/2016,8.9,Club Quarters Hotel Lincoln s Inn Fields, United Kingdom , A bit pricey for somewhere that s not a full hotel ie no bar or restaurant,17,2692, Spotlessly clean comfy beds free water dispensers and tea and coffee in lounge Great location Helpful staff ,19,4,8.3,"[' Leisure trip ', ' Couple ', ' Small Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",442 day,51.5160988,-0.1181749
247853,8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom,409,11/4/2015,8.3,The Grand at Trafalgar Square, United Kingdom , Although our room was well equipped with mod cons was VERY small,13,1592, we had dinner in the Boyds Brasserie which was very good value a pre theatre meal deal ,19,4,6.7,"[' Leisure trip ', ' Couple ', ' Small Queen Room ', ' Stayed 1 night ']",638 day,51.506935,-0.126012
167649,372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,3/13/2016,8.1,Strand Palace Hotel, United Kingdom ,No Negative,0,9568, We were given a complimentary upgrade The bed in the executive room was very spacious The breakfast was delicious,20,1,9.6,"[' Leisure trip ', ' Couple ', ' Cosy Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",508 day,51.5110993,-0.1208673
352451,Josep Pla 69 Sant Mart 08019 Barcelona Spain,228,8/14/2016,8.5,Vincci Bit, France , the location of the hotel,6,2848, the comfort of the room the availability and kindness of the staff,13,1,8.8,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 10 nights ']",354 day,41.4114188,2.211756
116549,23 Mecklenburgh Square Camden London WC1N 2AD United Kingdom,216,12/11/2016,8.5,Goodenough Club, United Kingdom , No lift but staff very helpful with luggage,9,959, Quaint hotel in central location,6,21,8.3,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",235 day,51.525535,-0.1180354
448415,Schubertring 5 7 01 Innere Stadt 1010 Vienna Austria,77,8/24/2015,8.9,The Ritz Carlton Vienna, France ,No Negative,0,470, Staff kindness and willingness to answer any guest queries the big pool,13,2,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 5 nights ']",710 day,48.2022742,16.3762615
215318,56 rue de Montorgueil 2nd arr 75002 Paris France,32,6/14/2016,7.5,Victoires Opera, Jersey , The bathroom terrible shower and so old fashioned the bed hard and uncomfortable and a very small double General drab bedroom and corridors Dungeon to eat breakfast,28,273,No Positive,0,8,4.6,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']",415 day,48.8648997,2.3469433
45977,130 Tottenham Court Road Camden London W1T 5AY United Kingdom,713,6/28/2016,8.3,Radisson Blu Edwardian Grafton, United Kingdom , Expensive minibar small bed,5,2826, Bed was a bit on the small side for two of us and the mini bar was day light robbery at 3 for a can of cola Fire alarm went off briefly in middle of night for a few seconds and took on the front was near an ambulance station so noisy but overall very good stay and lovely hotel ,62,2,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",401 day,51.5241386,-0.1380807
1801,1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,639,2/9/2016,9.2,Apex Temple Court Hotel, United Kingdom ,No Negative,0,2619, Great location for theatres and fab rooms that are a good size,13,4,9.6,"[' Leisure trip ', ' Couple ', ' Junior Suite with Club Lounge Access ', ' Stayed 1 night ', ' Submitted from a mobile device ']",541 day,51.5137335,-0.1087512
316033,Eerste Constantijn Huygensstraat 10A Oud West 1054 BR Amsterdam Netherlands,218,9/24/2015,7.5,Grand Hotel Downtown, Qatar , Just a bit expensive for what you get Nice comfortable clean rooms close to center though,17,1270, Balcony location,3,22,7.5,"[' Leisure trip ', ' Couple ', ' Penthouse Suite with Terrace and City View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",679 day,52.36513,4.8729422
48671,14 16 Craven Hill Lancaster Gate Westminster Borough London W2 3DU United Kingdom,289,3/20/2016,8.8,Park Grand London Lancaster Gate, United Kingdom , Room directly under kitchen and extremely noisy in evening and early morning ,14,1519,No Positive,0,1,6.3,"[' Business trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",501 day,51.5132069,-0.1807816
